'arf             	fél/fele         
many             	sok              
many a man       	sok ember        
many a one       	sok ember        
many a time      	sokszor          
many of us       	sokan közülünk   
many people      	sok ember        
many times       	sokszor          
manyheaded       	sokfejû          
manyplies        	százrétû         
many-sided       	sokoldalú        
map              	térkép           
map out          	kitervez         
maple            	juhar(fa)        
map-maker        	térképész        
map-making       	térképkészítés   
mapped           	feltérképezett   
mapping          	(fel)térképezés  
mar              	rongál           
mar.             	márc.            
marabou          	marabu           
marathon         	maratoni futás   
maraud           	fosztogat        
marble           	márvány          
marbled          	márványozott     
marbles          	golyók           
marbling         	márványozás      
marc             	törköly          
march            	március          
march in         	bevonul          
march off        	elvonul          
march past       	elvonul          
marcher          	menetelõ         
marching         	menetelés        
marching orders  	menetparancs     
marchioness      	márkinõ          
marchpane        	marcipán         
march-past       	dísszemle        
mare             	kanca            
mare's nest      	vaklárma         
margarine        	margarin         
marge            	margarin         
margin           	szegély          
marginal         	lapszél          
marginal note    	széljegyzet      
marginal strip   	vezetõsáv        
marginally       	eltérés          
margrave         	õrgróf           
marguerite       	margaréta        
marigold         	körömvirág       
marihuana        	marihuána        
marijuana        	marihuána        
marinade         	pácol            
marine           	tengeri          
mariner          	tengerész        
marionette       	marionett        
marital          	házastársi       
marital status   	családi állapot  
maritime         	tengeri          
marjoram         	majoranna        
mark             	jel              
mark an era      	korszakalkotó    
mark down        	beír             
mark off         	kijelöl          
mark out         	kijelöl          
mark the price   	árcéduláz        
mark time        	egyhelyben topog 
mark up          	felemel          
mark-down        	árleszállítás    
marked           	jelzett          
markedly         	feltûnõen        
marker           	jelzõ            
marker post      	kerékvetõ        
market           	piac             
market hall      	vásárcsarnok     
market value     	piaci ár         
marketable       	piacképes        
market-day       	tõzsdenap        
marketing        	értékesítés      
market-place     	piactér          
market-price     	piaci/napi ár    
market-town      	vásárváros       
marking          	jelzés           
markings         	mintázat         
marks            	megjelölt        
marksman         	(mester)lövész   
marksmanship     	lövészet         
mark-up          	haszonkulcs      
marl             	márga            
marline-spike    	bújtatófa        
marl-pit         	márgabánya       
marly            	márgás           
marmalade        	lekvár           
marmoreal        	márványszerû     
marmoset         	selyemmajom      
marmot           	mormota          
maroon           	gesztenyebarna   
marquee          	nagy sátor       
marquess         	márki            
marquetry        	intarzia         
marquis          	márki            
marquise         	márkiné          
marred           	megrongált       
marriage         	házasság         
marriage portion 	hozomány         
marriageable     	eladókorú        
married          	házas            
married couple   	házaspár         
married life     	házasélet        
marron           	gesztenye        
marrow           	velõ             
marrowbone       	velõscsont       
marrowfat        	velõ             
marrowy          	velõs            
marry            	férjhez megy     
marry come up!   	mi a fene?!      
marry off        	férjhez ad       
marsh            	mocsár           
marshal          	rendõrbíró       
marshaling-yard  	rendezõ-pályaudva
marshalling-yard 	rendezõ-pályaudva
marsh-fever      	mocsárláz        
marsh-gas        	mocsárgáz        
marsh-hen        	vízityúk         
marshland        	mocsárvidék      
marsh-mallow     	mályva(cukor)    
marsh-marigold   	mocsári gólyahír 
marshy           	mocsaras         
marsupial        	erszényes        
mart             	piactér          
marten           	nyest            
martial          	harcias          
martial law      	statárium        
martial music    	katonazene       
martian          	marslakó         
martin           	házifecske       
martinet         	túl szigorú      
martini          	martini          
martyr           	vértanú          
martyrdom        	vértanúság       
martyrize        	agyonkínoz       
marvel           	csoda            
marvellous       	csodálatos       
marvelous        	csodálatos       
mary             	mária            
marzipan         	marcipán         
mascara          	szempillafesték  
mascot           	talizmán         
masculine        	férfias          
mash             	pép              
mashed           	pépes            
mashed potatoes  	krumplipüré      
masher           	nõcsábász        
mashie           	golfütõ          
mask             	álarc            
maskable         	maszkolható      
masked           	álarcos          
masked ball      	álarcosbál       
masker           	álarcos          
masochism        	mazohizmus       
mason            	kõmûves          
masonic          	szabadkõmûves    
masonry          	kõmûvesség       
masque           	maszk            
masquerade       	álarcosbál       
mass             	tömeg            
mass meeting     	tömeggyûlés      
mass production  	tömegtermelés    
massacre         	mészárlás        
massage          	masszázs         
masseur          	masszõr          
massive          	masszív          
massiveness      	tömörség         
massy            	masszív          
mast             	árbóc            
master           	mester           
master builder   	építõmester      
master carpenter 	ácsmester        
master mason     	kõmûvesmester    
master mechanic  	fõmûvezetõ       
master tape      	mesterszalag     
master-copy      	tõpéldány        
masterful        	mesteri          
masterhood       	uralkodás        
master-key       	álkulcs          
masterly         	mesteri          
mastermind       	háttérbõl irányít
masterpiece      	mestermû         
master-sergeant  	törzsõrmester    
mastership       	fölény           
master-stroke    	mesterfogás      
mastery          	fölény           
mastic           	ragasztómézga    
masticate        	(meg)rág         
mastication      	rágás            
masticator       	húsdaráló        
mastiff          	szelindek        
mastitis         	emlõgyulladás    
masturbate       	maszturbál       
masturbation     	nemi önkielégítés
mat              	lábtörlõ         
match            	összemér         
match to         	megfelel         
match-board      	hornyolt padló   
match-boarding   	hornyolt padlózat
matchbox         	gyufásdoboz      
match-box        	gyufásdoboz      
matches          	gyufa            
matching         	összemérés       
matching file    	egyezõ file      
matchless        	páratlan         
matchlock        	kovás puska      
matchmaker       	gyufagyáros      
match-maker      	házasságszerzõ   
matchplay        	döntõ játszma    
match-point      	meccslabda       
match-stick      	gyufaszál        
matchwood        	aprófa           
mate             	társ             
material         	anyagi           
material needs   	anyagi javak     
materialism      	anyagelvûség     
materialization  	megvalósulás     
materialize      	megvalósít       
materials        	anyagok          
maternal         	anyai            
maternity        	anyaság          
maternity nurse  	szülésznõ        
maternity ward   	szülészet        
matey            	barátkozó        
math             	matek            
mathematical     	számtani         
mathematician    	matematikus      
mathemetics      	számtan          
maths            	matek            
matinée          	matiné           
matinée idol     	nõk bálványa     
mating           	párzás           
matriarch        	anyaijog         
matriarchal      	anyajogi         
matric           	felvételi        
matrices         	mátrix           
matricide        	anyagyilkosság   
matriculate      	beíratkozik      
matriculation    	beíratkozás      
matrimonial      	házassági        
matrimony        	házasság         
matrix           	mátrix           
matron           	fõnõvér          
matronly         	asszonyhoz illõ  
matt             	matt             
matted           	összekuszált     
matted hair      	csapzott haj     
matter           	dolog            
matter of fact   	ténykérdés       
matter of taste  	ízlés dolga      
matter-of-course 	természetes      
matter-of-fact   	tényleges        
matting          	gyékényszõnyeg   
mattock          	csákány          
mattress         	matrac           
maturation       	megérlelés       
mature           	érett            
maturity         	érettség         
matutinal        	hajnali          
maudlin          	érzelgõs         
maul             	marcangol        
maulstick        	festõpálca       
maunder          	összevissza fecse
maundy thursday  	nagycsütörtök    
mausoleum        	síremlék         
mauve            	mályvaszínû      
mave a mouth     	mocskos szájú    
maverick         	szabadúszó       
mavis            	énekes rigó      
maw              	gyomor           
mawkish          	érzelgõs         
max.             	maximum          
maxi             	maxi             
maxim            	életelv          
maxim gun        	géppuska         
maximal          	maximális        
maximalize       	maximalizál      
maximize         	maximalizál      
maximum          	maximum          
may              	lehet            
may be obtained  	kapható          
may day          	május elseje     
may i come in?   	bejöhetek?       
may i have?      	vehetek?         
may i?           	szabad lesz?     
maybe            	talán            
maybeetle        	cserebogár       
maybug           	cserebogár       
mayflower        	galagonya        
may-fly          	kérész           
mayhap           	talán            
mayhem           	(meg)csonkítás   
mayonnaise       	majonéz          
mayor            	polgármester     
mayoralty        	polgármesteri    
mayoress         	polgármesternõ   
maypole          	májusfa          
maze             	(zûr)zavar       
mazy             	zûrzavaros       
me               	engem            
mead             	mézsör           
meadow           	rét              
meager           	vézna            
meagre           	vézna            
meal             	étkezés          
mealies          	kukorica         
meal-time        	étkezési idõ     
mealy            	lisztszerû       
mealy-mouthed    	mézesmázos       
mean             	jelent           
mean price       	átlagár          
mean time        	középidõ         
mean well        	jót akar         
meander          	kanyarog         
meandering       	kanyargó         
meaning          	jelentés         
meaningful       	értelmes         
meaningless      	értelmetlen      
meanness         	aljasság         
means            	eszközök         
meant            	jelentett        
meantime         	közben           
meanwhile        	ezalatt          
measles          	kanyaró          
measly           	vacak            
measurable       	(le)mérhetõ      
measure          	mérték           
measure off      	lemér            
measure out      	kimér            
measured         	kimért           
measureless      	mérhetetlen      
measurement      	mérték           
meat             	hús              
meat pie         	húspástétom      
meatless         	hústalan         
meat-pie         	húspástétom      
meat-safe        	ételszekrény     
meaty            	velõs            
mechanic         	szerelõ          
mechanical       	mechanikai       
mechanical heart 	mûszív           
mechanical power 	gépi erõ         
mechanics        	mechanika        
mechanism        	mechanizmus      
mechanization    	gépesítés        
mechanize        	gépesít          
medal            	érem             
medallion        	emlékérem        
medallist        	éremnyertes      
meddle           	be(le)avatkozik  
meddler          	kotnyeles        
meddlesome       	kotnyeleskedõ    
meddling         	beavatkozás      
media            	közeg            
media descriptor 	eszközleíró      
mediaeval        	középkori        
medial           	közepes          
median           	középsõ          
mediate          	közvetít         
mediation        	közvetítés       
mediator         	közvetítõ        
medic            	medikus          
medical          	orvosi           
medical aid      	orvosi segély    
medical bath     	gyógyfürdõ       
medical expenses 	orvosi költségek 
medical man      	orvos            
medical officer  	tisztiorvos      
medical post     	segélyállomás    
medical school   	orvosi egyetem   
medical staff    	orvosi kar       
medical student  	orvostanhallgató 
medicament       	orvosság         
medicate         	gyógyít          
medication       	gyógykezelés     
medicinal        	gyógyító         
medicinal spring 	gyógyforrás      
medicine         	orvosság         
medicine cabinet 	házipatika       
medicine chest   	mentõláda        
medicine-man     	kuruzsló         
medick           	lucerna          
medico           	orvos            
medieval         	középkori        
mediocre         	középszerû       
mediocrity       	középszerûség    
meditate         	elmélkedik       
meditation       	elmélkedés       
meditative       	elmélkedõ        
medium           	közeg            
medium rare      	angolosan        
medium wawe      	középhullám      
medium-sized     	közepes méretû   
medlar           	naspolya         
medley           	egyveleg         
medley relay     	vegyesváltó      
meed             	jutalom          
meek             	szelíd           
meekness         	szelídség        
meershaum        	tajték           
meet             	találkozik       
meet a bill      	váltót kifizetni 
meet in council  	tanácskozik      
meet one's end   	eléri a végzete  
meet one's match 	emberére talál   
meet with        	rábukkan         
meeting          	találkozó        
meeting people   	baráti találkozó 
meeting-house    	imaház           
meeting-place    	találkozóhely    
meeting-point    	találkozóhely    
megabyte         	megabyte         
megacycle        	megaciklus       
megalomania      	nagyzási hóbort  
megaphone        	hangszóró        
megaton          	megatonna        
megawatts        	megawatt         
megnetic tape    	mágnesszalag     
megrim           	migrén           
melancholic      	búskomor         
melancholy       	szomorú          
meliorate        	megjavít         
melioration      	javulás          
mellifluous      	méz(éd)es        
mellow           	érett            
mellowness       	érettség         
melodic          	dallamos         
melodious        	dallamos         
melodrama        	rémdráma         
melody           	dal(lam)         
melon            	dinnye           
melt             	olvad            
melt away        	elolvad          
melt down        	beolvaszt        
melt into tears  	sítva fakad      
melt-down        	(egybe)olvasztott
melting          	olvadó           
melting-point    	olvadáspont      
melting-pot      	olvasztótégely   
member           	tag              
member of        	tagja a          
members of       	tagjai           
membership       	tagság           
membrane         	membrán          
membraneous      	hártyás          
memento          	emlékeztetõ      
memo             	feljegyzés       
memoir           	életrajz         
memoirs          	emlékiratok      
memo-pad         	jegyzettömb      
memorable        	emlékezetes      
memorial         	emlékmû          
memorial tablet  	emléktábla       
memorials        	emlékiratok      
memorize         	megjegyez        
memory           	memória          
memory unit      	memóriaegység    
memory-resident  	memóriában maradó
men              	emberek          
menace           	fenyegetés       
menacingly       	fenyegetõen      
ménage           	háztartás        
menagerie        	állatsereglet    
mend             	megjavítani      
mend matters     	helyrehoz        
mend one's way   	megjavul         
mend the fire    	tüzet felszít    
mendacious       	hazug            
mendacity        	hazudozás        
mender           	javító           
mendicancy       	kéregetés        
mendicant        	kolduló          
mending          	javuló           
menfolk          	férfinép         
menial           	alantas          
meningitis       	agyhártyagyulladá
meniscus         	folyadékfelszín  
menopause        	klimax           
men's double     	férfipáros       
men's events     	férfi számok     
men's room       	férfi mosdó      
men's single     	férfi egyes      
menses           	havi vérzés      
menstruate       	menstruál        
menstruation     	havivérzés       
mensurable       	mérhetõ          
mensuration      	mérés            
mental           	elmebeli         
mental age       	szellemi fok     
mental asylum    	bolondok háza    
mental case      	elmebeteg        
mental defective 	gyengeelméjû     
mental home      	elmegyógyintézet 
mental hospital  	elmegyógyintézet 
mental patient   	elmebeteg        
mental upset     	lelki zavar      
mentality        	mentalitás       
menthol          	mentol           
mentholated      	mentolos         
mention          	megemlít         
mentioned        	emlitette        
mentor           	tanácsadó        
menu             	menü             
menus            	menük            
mephitic         	bûzös            
mercantile       	kereskedelmi     
mercenary        	pénzsóvár        
mercer           	selyem-kereskedõ 
mercerize        	fényesít         
merchandise      	kereskedik       
merchant         	kereskedõ        
merchantable     	kelendõ          
merchantman      	kereskedõ        
merchant-ship    	kereskedelmi hajó
merciful         	irgalmas         
mercifulness     	könyörületesség  
merciless        	irgalmatlan      
mercurial        	mozgékony        
mercury          	higany           
mercy            	irgalom          
mere             	egyszerû         
mere boy         	még csak fiú     
merely           	csupán           
meretricious     	hamis            
merge            	egyesít          
merger           	egyesülés        
merging          	becsatlakozás    
merging traffic  	fonódó forgalom  
meridian         	délkör           
meridional       	déli             
meringue         	habos sütemény   
merino           	merinójuh        
merino-wool      	merinógyapjú     
merit            	érdem            
meritorious      	dicséretes       
mermaid          	hableány         
merman           	férfisellõ       
merrily          	vidáman          
merriment        	mulatság         
merriness        	vidámság         
merry            	vidám            
merry as a grig  	vidám            
merry-go-round   	körhinta         
merry-making     	mulatás          
merrythought     	mellcsont        
mescaline        	kábítószer       
meseems          	azt hiszem       
mesh             	háló             
meshed           	hálószerû        
meshes           	hálózat          
mesmerism        	hipnózis         
mesmerize        	hipnotizál       
mess             	rendetlenség     
mess about       	babrál           
mess together    	együtt étkezni   
mess up          	elfuserál        
message          	üzenet           
messages         	üzenetek         
messenger        	hírnök           
messiah          	messiás          
messing          	közös étkezés    
messmate         	asztaltárs       
mess-room        	étkezde          
mess-tin         	csajka           
messuage         	ház telekkel     
mess-up          	zûr(zavar)       
messy            	rendetlen        
mestizo          	mesztic          
met              	találkozott      
metabolism       	anyagcsere       
metal            	fém              
metal-bearing    	fémtartalmú      
metallic         	fémes            
metallurgic      	fémipari         
metallurgical    	kohászati        
metallurgist     	kohász           
metallurgy       	kohászat         
metal-work       	fémmunka         
metal-worker     	fémmunkás        
metalworking     	fémipar          
metamorphose     	átváltoztat      
metamorphosis    	átalakulás       
metaphor         	hasonlat         
metaphorical     	képletes         
metaphysical     	metafizikai      
metaphysics      	metafizika       
metathesis       	hangátvetés      
mete out         	kioszt           
meteor           	meteor           
meteoric         	légköri          
meteorite        	meteor           
meteorological   	meteorológiai    
meteorologist    	meteorológus     
meteorology      	meteorológia     
meter            	mérõóra          
methane          	metán            
methinks         	azt hiszem       
method           	módszer          
methodical       	módszeres        
methodology      	módszertan       
methods          	módszerek        
methought        	azt hittem       
meths            	spiritusz        
methuselah       	matuzsálem       
methyl           	metil            
methyl alcohol   	faszesz          
meticulosity     	aprólékosság     
meticulous       	aprólékos        
metonymy         	fogalomcsere     
metre            	méter            
metric           	méter rendszerû  
metric system    	méterrendszer    
metrical         	idõmértékes      
metrication      	méterrenszerre té
metrics          	metrika          
metronome        	metronóm         
metropolis       	világváros       
metropolitan     	fõvárosi         
mettle           	vérmérséklet     
mettlesome       	lelkes           
mew              	nyávog           
mew up           	elzár            
mewl             	nyafog           
mews             	sikátor          
mewsmonger       	pletykafészek    
mexico           	mexikó           
mezzanine        	félemelet        
mezzo-soprano    	mezzoszoprán     
mezzotint        	borzolás         
miaow            	nyávogás         
mica             	csillám(pala)    
mice             	egerek           
michaelmas daisy 	õszirózsa        
mickle           	sok              
micro            	mikro            
microbe          	mikróba          
microbiology     	mikrobiológia    
micro-card       	mikrokártya      
microcosm        	mikrokozmosz     
microfilm        	mikrofilm        
micrometer       	mikrométer       
micron           	mikron           
micro-organism   	mikroorganizmus  
microphone       	mikrofon         
microphotograph  	mikrofénykép     
microprocessor   	mikroprocesszor  
microscope       	mikroszkóp       
microscopic      	parányi          
microscopical    	mikroszkópikus   
microseconds     	mikroszekundum   
microwawe        	mikrohullám      
micturate        	vizel            
mid              	közép(sõ)        
midbrain         	középagy         
midday           	dél(idõ)         
midday meal      	ebéd             
midden           	szemétdomb       
middle           	középsõ          
middle ages      	középkor         
middle finger    	középsõujj       
middle lane      	középsõ sáv      
middle school    	középiskola      
middle-age       	középkorú        
middle-aged      	középkorú        
middle-class     	középosztálybeli 
middleman        	közvetítõ        
middlemost       	legközépsõ       
middleweight     	középsúly        
middling         	közepes          
midfield         	középpályás      
midge            	muslica          
midget           	apró             
midmost          	pont középen     
midnight         	éjfél            
midriff          	rekeszizom       
midst            	közép            
midway           	félúton          
mid-west         	közép-nyugat     
midwife          	szülésznõ        
midwifery        	szülészet        
midwinter        	télközép         
mien             	arckifejezés     
miff             	összezördülés    
miff at          	megsértõdik      
might            	lehet            
mightiness       	erõsség          
mighty           	nagyon           
mignonette       	rezeda           
migraine         	migrén           
migrant          	vándor           
migrate          	költözik         
migration        	költözés         
migratory        	költözõ          
mike             	mikrofon         
milady           	hölgy            
milch-cow        	fejõstehén       
mild             	enyhe            
mildew           	penész           
mildewy          	penészes         
mildly           	enyhén           
mildness         	szelídség        
mile             	mérföld          
mileage          	mérföldek száma  
mileometer       	kilométeróra     
mile-post        	távolságjelzõ táb
miles            	mérföldek        
milestone        	mérföldkõ        
milfoil          	cickafark        
miliary fever    	köleshimlõ       
militancy        	harciasság       
militant         	harcos           
militarism       	fegyverkezés     
militarist       	fegyverkezõ      
militarization   	felfegyver(ke)zés
militarize       	felfegyverez     
military         	katonai          
military term    	katonai nyelvben 
militate         	harcol           
militiaman       	milicista        
milk             	tej              
milk powder      	tejpor           
milk-and-water   	unalmas          
milk-bar         	tejbüfé          
milk-can         	tejeskanna       
milker           	fejõ             
milking          	fejés            
milking-machine  	fejõgép          
milk-loaf        	kalács           
milkmaid         	fejõlány         
milkman          	tejárus          
milkpail         	fejõdézsa        
milk-powder      	tejpor           
milk-pudding     	rizsfelfújt      
milk-shake       	turmix           
milkshop         	anyámasszonykaton
milk-tooth       	tejfog           
milky            	tejes            
mill             	malom            
millboard        	dekli            
mill-dam         	malomgát         
millenary        	ezredévforduló   
millennial       	ezredéves        
millennium       	mileneum         
millepede        	százlábú         
miller           	molnár           
millet           	köles            
mill-girl        	munkáslány       
mill-hand        	gyári munkás     
milliard         	milliárd         
milligram        	milligramm       
milligramme      	milligramm       
milliliter       	milliliter       
millilitre       	milliliter       
millimeter       	milliméter       
millimetre       	milliméter       
milliner         	divatárusnõ      
millinery        	nõi kalapszalon  
milling          	õrlés            
million          	millió           
millionaire      	milliomos        
millionth        	milliomodik      
millipede        	százlábú         
milliseconds     	milliszekundum   
mill-owner       	molnár           
mill-pond        	malomtó          
mill-race        	malomárok        
millstone        	malomkõ          
mill-wheel       	malomkerék       
milometer        	kilométeróra     
milord           	uram             
milt             	halikra          
mime             	némajáték        
mimeograph       	sokszorosítógép  
mimetic          	utánzó           
mimic            	utánzó           
mimic warfare    	hadgyakorlat     
mimicry          	mimika           
mimiked          	utánzott         
minaret          	minaret          
minatory         	fenyegetõ        
mince            	vagdalthús       
minced meat      	vagdalt hús      
mincemeat        	sütemény         
mince-pie        	gyümölcskosár    
mincer           	húsdaráló        
mincing          	vagdaló          
mincing machine  	húsdaráló        
mind             	ész              
mind the step!   	vigyázat lépcsõ! 
mind you!        	jegyezze meg!    
mind your step   	légy óvatos      
minded           	hajlandó         
minder           	õrzõ             
mindful          	gondos           
mindless         	gondatlan        
mind-reader      	gondolatolvasó   
mine             	bánya            
mine-detector    	aknakeresõ       
minefield        	aknamezõ         
mine-layer       	aknarakó         
miner            	bányász          
mineral          	ásvány           
mineral oil      	ásványolaj       
mineral water    	ásványvíz        
mineralogy       	ásványtan        
minerals         	ásványvíz        
mine-shaft       	tárna            
mine-sweeper     	aknaszedõ        
mingle           	kever            
mingled          	kevert           
mingling         	keveredik        
miniature        	miniatûr         
miniature film   	kisfilm          
minibus          	kisbusz          
minicab          	minitaxi         
minicar          	kisautó          
minimal          	minimális        
minimize         	minimalizál      
minimum          	minimum          
minimum wage     	bérmininmum      
mining           	bányászat        
mining engineer  	bányamérnök      
minion           	kegyenc          
miniskirt        	miniszoknya      
minister         	miniszter        
ministration     	segédkezés       
ministry         	minisztérium     
miniver          	hermelin         
mink             	nerc             
minor            	kisebb           
minor injury     	könnyû sérülés   
minor road       	mellékút         
minor suit       	káró v. treff    
minority         	kisebbség        
minority report  	különvélemény    
minster          	székesegyház     
minstrel         	vándordalos      
minstrelsy       	népdalgyûjtemény 
mint             	pénzverde        
minuend          	kisebbitendõ     
minuet           	menüett          
minus            	mínusz           
minus sign       	mínuszjel (-)    
minute           	perc             
minute-book      	jegyzõkönyv      
minute-glass     	homokóra         
minute-hand      	percmutató       
minuteman        	polgárõr         
minuteness       	aprólékosság     
minutes          	jegyzõkönyv      
minutes fast     	siet             
minutes slow     	késik            
minutiae         	aprólékos részlet
minx             	kacér lány       
miracle          	csoda            
miraculous       	csodálatos       
mirage           	délibáb          
mire             	sár              
mirror           	tükör            
mirth            	vidámság         
mirthful         	vidám            
mirthless        	örömtelen        
miry             	sáros            
misadjustment    	téves beállítás  
misadventure     	baleset          
misadvise        	félrevezet       
misalliance      	rangonaluli házas
misanthrope      	embergyûlölõ     
misanthropic     	embergyûlölõ     
misanthropical   	embergyûlölõ     
misanthropy      	embergyûlölet    
misapplication   	rossz alkalmazás 
misapply         	hibásan alkalmaz 
misappreciate    	félremagyaráz    
misapprehend     	félreért         
misapprehension  	félreértés       
misappropriate   	sikkaszt         
misappropriation 	sikkasztás       
misbecame        	nem illett hozzá 
misbecome        	nem illik hozzá  
misbegotten      	fattyú           
misbehave        	illetlenül       
misbehavior      	neveletlenség    
misbehaviour     	neveletlenség    
misbelief        	tévhit           
miscalculate     	hibásan számít   
miscalculation   	téves számítás   
miscall          	téves megnevezés 
miscarriage      	kudarc           
miscarry         	kudarcot vall    
miscegenation    	fajkeveredés     
miscellaneous    	különféle        
miscellanies     	egyvelegek       
miscellany       	egyveleg         
mischance        	balszerencse     
mischief         	baj              
mischief-maker   	bajkeverõ        
mischievous      	kártékony        
misconception    	félreértés       
misconduct       	rossz igazgatás  
misconstruction  	félreértelmezés  
misconstrue      	félremagyaráz    
miscount         	rossz számolás   
miscreant        	gazember         
misdate          	rosszul keltez   
misdated         	rosszul keltezett
misdelivery      	téves kézbesítés 
misdemeanor      	vétség           
misdemeanour     	vétség           
misdirect        	félrevezet       
misdirected      	félrevezetett    
misdirection     	félrevezetés     
misdoing         	gaztett          
misentry         	téves bejegyzés  
miser            	zsugori          
miserable        	szánalmas        
miserably        	szánalmasan      
miserliness      	fösvénység       
miserly          	fukar            
misery           	szenvedés        
misfire          	nem gyújt        
misfit           	rosszul álló ruha
misfortune       	balszerencse     
misgivings       	aggodalom        
misgovernment    	rossz kormányzás 
misguided        	félrevezetett    
mishandle        	rosszul kezel    
mishap           	baleset          
mishear          	rosszul hall     
misheard         	rosszul hallott  
mishmash         	mismás           
misinform        	félrevezet       
misinformation   	rossz információ 
misinterpret     	félreért         
misinterpretation	félremagyarázás  
misjudge         	lebecsül         
misjudgement     	tévítélet        
misjudgment      	tévítélet        
mislaid          	elvesztett       
mislay           	elveszt          
mislead          	félrevezet       
misleading       	félrevezetõ      
misled           	félrevezetett    
mismanage        	rosszul menedzsel
mismanagement    	rossz menedzselés
mismatch         	nem megfelelõ    
misname          	hibásan nevez meg
misnomer         	névcsere         
misogynist       	nõgyûlölõ        
misogyny         	nõgyûlölet       
misplace         	rossz helyre tesz
misprint         	sajtóhiba        
mispronounce     	rossz ejt ki     
mispronounciation	rossz kiejtés    
misquotation     	pontatlan idézet 
misquote         	rosszul idéz     
misread          	félreért(ett)    
misreckon        	rosszul számít   
misreport        	tévesen jelent   
misrepresent     	hamisan ír le    
misrepresetation 	megtévesztés     
misrule          	zûrzavar         
miss             	tévedés          
miss aim         	célt téveszt     
miss fire        	csütörtököt mond 
miss one's way   	eltéved          
miss out         	kihagy           
miss the mark    	célt téveszt     
miss train       	lekési a vonatot 
missal           	misekönyv        
missile          	lövedék          
missile site     	kilövõállás      
missing          	hiányzó          
missing link     	hiányzó láncszem 
mission          	küldetés         
mission in life  	élethivatás      
missionary       	hittérítõ        
missis           	feleség          
missish          	kényeskedõ       
missive          	levél            
misspell         	hibával ír       
misspelt         	hibával írt      
misspent         	elpazarolt       
misstate         	tévesen állít    
misstatement     	téves állítás    
missus           	asszony          
missy            	kisasszony       
mist             	köd              
mistakable       	félreérthetõ     
mistake          	hiba             
mistaken         	téves            
mister           	úr               
mistime          	rosszul idõzít   
mistiness        	ködösség         
mistitle         	tévesen címez    
mistletoe        	fagyöngy         
mistook          	összetévesztett  
mistranslate     	tévesen fordít   
mistranslation   	fordítási hiba   
mistress         	-né              
mistrust         	bizalmatlanság   
mistrustful      	bizalmatlan      
mistune          	elhangolás       
misty            	ködös            
misunderstand    	félreért         
misunderstanding 	félreértés       
misunderstood    	félreértett      
misuse           	visszaélés       
mite             	fillér           
miter            	püspökség        
miter-joint      	ferde illesztés  
miter-square     	félderékszögmérõ 
mitigate         	mérsékel         
mitigation       	enyhítés         
mitre            	püspökség        
mitre-joint      	ferde illesztés  
mitre-square     	félderékszögmérõ 
mitt             	baseball-kesztyû 
mitten           	egyujjas kesztyû 
mittens          	boxkesztyû       
mix              	kever            
mix up           	összekever       
mixed            	kevert           
mixed feelings   	vegyes érzelmek  
mixed grill      	fatányéros       
mixed metaphor   	képzavar         
mixed number     	vegyes szám      
mixed school     	koedukált iskola 
mixed vegetables 	vegyes zöldség   
mixer            	keverõ           
mixture          	keverék          
mix-up           	zûrzavar         
mizen            	hátsó            
mizzen           	hátsó            
mizzle           	szemerkél        
mnemonic         	emlékeztetõ (szó)
mo               	pillanat         
mo.              	hó.              
moan             	sóhaj            
moat             	sáncárok         
moated           	körülárkolt      
mob              	tömeg            
mob law          	lincselés        
mob-cap          	fõkötõ           
mobile           	mozgó            
mobile home      	lakókocsi        
mobility         	mozgékonyság     
mobilization     	mozgósítás       
mobilize         	mozgósít         
moccasin         	mokasszin        
mocha            	mokkakávé        
mock             	gúnyol           
mock modesty     	álszerénység     
mocker           	gúnyoló          
mockery          	(ki)gúnyolás     
mock-sun         	melléknap        
mock-up          	makettmodell     
modal            	alaki            
modal word       	módosítószó      
mode             	mód              
mode summary     	tipus áttekintés 
model            	modell           
model farm       	mintagazdaság    
model t          	elavult tipus    
modeler          	mitázó           
modeling         	(meg)mintázás    
modeller         	mintázó          
modelling        	(meg)mintázás    
models           	modellek         
modem            	modem            
moderate         	mérsékelt        
moderateness     	higgadtság       
moderation       	mérséklet        
moderator        	közvetítõ        
modern           	modern           
modern greek     	újgörög          
modernism        	korszerû felfogás
modernity        	korszerûség      
modernize        	korszerûsít      
modes            	módok            
modest           	szerény          
modesty          	szerénység       
modicum          	kis mennyiség    
modification     	módosítás        
modified         	módosított       
modifier         	változó          
modifies         	modósít          
modify           	módosít          
modifying        	módosítás        
modish           	divatos          
modishness       	divatosság       
mods             	szigorlat        
modul name table 	modulnévtábla    
modular          	elemes           
modulate         	modulál          
modulation       	moduláció        
module           	modul            
modulename       	modulnév         
modules          	modulok          
modulus          	tényezõ          
mogul            	"nagykutya"      
mohair           	moher            
moiety           	fele             
moire            	selyem           
moiré            	selyem           
moist            	nyirkos          
moisten          	megnedvesít      
moisture         	nedvesség        
moisturising     	hidratáló krém   
moke             	szamár           
molar            	zápfog           
molasses         	melasz           
mold             	humusz           
moldboard        	ekevas           
molded           	megformált       
molder           	mintázó          
moldiness        	penészesség      
molding          	formázás         
moldy            	penészes         
mole             	vakondok         
molecular        	molekuláris      
molecule         	molekula         
mole-hill        	vakondtúrás      
moleskin         	vakondprém       
moleskins        	bársonynadrág    
molest           	zaklat           
molestation      	zaklatás         
moll             	lotyó            
